item_code,item_name_original,item_name_en
332,SUSU TEPUNG SEGERA FERNLEAF (INSTANT),Milk Powder Instant FERNLEAF (INSTANT)
334,SUSU ANLENE ACTIFIT 3X PERISA ASLI,Milk ANLENE ACTIFIT 3X Flavour Original
335,SUSU ANLENE GOLD 5X,Milk ANLENE GOLD 5X
336,ANMUM MATERNA (BIASA/COKLAT),ANMUM MATERNA (Regular/Chocolate)
343,KULIT KAYU MANIS,Cinnamon Bark
344,SUSU TEPUNG SEGERA EVERYDAY,Milk Powder Instant EVERYDAY
345,SUSU TEPUNG ISIAN KURANG LEMAK 'OMEGA PLUS',Low-Fat Milk Powder (Omega Plus)
346,REMPAH KURMA (TIDAK BERBUNGKUS),Spice Korma (Unwrapped)
347,REMPAH SUP (TIDAK BERBUNGKUS),Spice Soup (Unwrapped)
350,SERBUK KARI IKAN BABAS,Curry Powder Fish BABAS
360,SUP BUNJUT ADABI,Soup BUNJUT ADABI
361,SUP PUNJUT MAK SITI,Soup PUNJUT MAK SITI
364,SERBUK CILI BABAS,Chili Powder BABAS
365,SERBUK KUNYIT CAMPURAN (SEBATIAN) ADABI,Turmeric Powder CAMPURAN (Blended) ADABI
367,SERBUK KUNYIT BABAS,Turmeric Powder BABAS
368,KACANG TANAH (IMPORT),Peanuts (Imported)
38,JAMBU BATU BERBIJI,Guava With Seeds
388,KRIMER MANIS CAP JUNJUNG,Sweetened Creamer Brand JUNJUNG
39,JAMBU BATU TANPA BIJI,Guava without Seeds
43,IKAN BAWAL HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Black Pomfret (between 2 to 5 fish per kilogram)
47,IKAN CENCARU (ANTARA 4 HINGGA 6 EKOR SEKILOGRAM),Hardtail Scad (between 4 to 6 fish per kilogram)
49,IKAN GELAMA (ANTARA 5 HINGGA 10 EKOR SEKILOGRAM),Croaker (between 5 to 10 fish per kilogram)
51,IKAN JENAHAK (b	% 1 KILOGRAM SEEKOR),Red Snapper (≥ 1 kilogram each)
52,KEPALA IKAN JENAHAK,Red Snapper Head
55,IKAN KEMBUNG KECIL/PELALING (ANTARA 10 HINGGA 18 EKOR SEKILOGRAM),Indian Mackerel Small/PELALING (between 10 to 18 fish per kilogram)
60,IKAN MERAH (b	% 1 KILOGRAM SEEKOR),Red Snapper (≥ 1 kilogram each)
64,KEPALA IKAN MERAH,Head Red Snapper
65,IKAN KERAPU (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Grouper (between 2 to 5 fish per kilogram)
66,IKAN PARANG (ANTARA 1 HINGGA 3 EKOR SEKILOGRAM),Wolf Herring (between 1 to 3 fish per kilogram)
68,IKAN PARI (KEPINGAN),Stingray (Slices)
69,IKAN SELAR KUNING (b	% 11 EKOR SEKILOGRAM),Yellowtail Scad (≥ 11 fish per kilogram)
70,IKAN SELAR PELATA (≤ 7 EKOR SEKILOGRAM),Whitefin Scad (≤ 7 fish per kilogram)
71,IKAN SELAYANG/SARDIN  (≥ 13 EKOR SEKILOGRAM),Scad/Sardine (≥ 13 fish per kilogram)
716,CILI API/PADI HIJAU,Bird's Eye Chili Green
73,IKAN SENANGIN (ANTARA 2 HINGGA 8 EKOR SEKILOGRAM),Threadfin (between 2 to 8 fish per kilogram)
78,IKAN TAMBAN BELURU (ANTARA 10 HINGGA 19 EKOR SEKILOGRAM),Fish TAMBAN BELURU (between 10 to 19 fish per kilogram)
79,IKAN TENGGIRI PAPAN (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),Spanish Mackerel PAPAN (between 1 to 2 fish per kilogram)
82,IKAN TENGGIRI BATANG (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),Spanish Mackerel Batang (between 1 to 2 fish per kilogram)
83,IKAN TONGKOL/AYA/KAYU HITAM (ANTARA 1 HINGGA 2 EKOR SEKILOGRAM),Black Tuna/Longtail Tuna (between 1 to 2 fish per kilogram)
843,ANMUM LACTA (BIASA),ANMUM LACTA (Regular)
845,SOTONG (≥ 6 EKOR SEKILOGRAM),Squid (≥ 6 fish per kilogram)
847,KETAM RENJONG/BUNGA (ANTARA 5 HINGGA 8 EKOR SEKILOGRAM),Crab RENJONG/BUNGA (between 5 to 8 fish per kilogram)
849,UDANG PUTIH KECIL (b	% 61 EKOR SEKILOGRAM),Small White Prawns (≥ 61 prawns per kilogram)
850,UDANG HARIMAU (ANTARA 20 HINGGA 30 EKOR SEKILOGRAM),Tiger Prawns (between 20 to 30 fish per kilogram)
861,UBI KENTANG HOLLAND,Potatoes HOLLAND
863,JINTAN MANIS (KASAR),Fennel (Coarse)
864,BUNGA CENGKIH,Cloves
865,BUNGA LAWANG,Star Anise
866,BUAH PELAGA,Cardamom
867,BUAH KERAS,Candlenut
868,BUAH PALA,Nutmeg
869,BIJI SAWI,Mustard Seeds
87,IKAN HARUAN (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Snakehead Fish (between 2 to 5 fish per kilogram)
870,BIJI KETUMBAR,Coriander Seeds
871,LADA HITAM,Black Pepper
873,LADA PUTIH,White Pepper
88,IKAN KELI (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Catfish (between 2 to 5 fish per kilogram)
883,KRIMER MANIS BERVITAMIN CAP F&N,Sweetened Creamer BERVITAMIN Brand F&N
884,KRIMER MANIS CAP GOLD COIN,Sweetened Creamer Brand GOLD COIN
89,IKAN TILAPIA HITAM (ANTARA 2 HINGGA 5 EKOR SEKILOGRAM),Tilapia HITAM (between 2 to 5 fish per kilogram)
896,HALBA,Fenugreek
9,DAGING KAMBING BEBIRI IMPORT BERTULANG (MUTTON) (AUSTRALIA - KOTAK),Mutton Imported Bone-in (MUTTON) (AUSTRALIA - Box)
904,BERAS SUPER CAP RAMBUTAN 5% (IMPORT),Super Rice Brand RAMBUTAN 5% (Imported)
910,KORDIAL F&N (SIRAP ROS),F&N Cordial (Rose Syrup)
917,"TEPUNG GANDUM NGP (BERBUNGKUS, CAP SAUH)","Wheat Flour NGP (Packaged, Brand SAUH)"
918,MINYAK MASAK PAKET (PELBAGAI JENAMA),Cooking Oil Packet (Various Brands)
919,SUSU TEPUNG PENUH KRIM DUTCHLADY,Milk Powder Full Cream DUTCHLADY
92,CILI HIJAU,Green Chili
929,NESCAFE CLASSIC (PAKET),NESCAFE CLASSIC (Packet)
93,CILI MERAH - KULAI,Red Chili - KULAI
94,CILI MERAH - MINYAK,Red Chili - MINYAK
95,HALIA BASAH (TUA),Fresh Ginger (TUA)
957,SOS CILI KIMBALL,Kimball Chili Sauce
96,KACANG BENDI,Okra
97,KACANG BUNCIS,French Beans
98,KACANG PANJANG,Long Beans
992,BERAS CAP JATI (SST5%),Rice Brand JATI (SST5%)
